corp_code,corp_name,stock_code,stage,stage_reason,risk_score,status,status_code,end_date,capital_total,capital_impaired,부채비율,유동비율,이자보상배율,fs_missing,induty_code,is_b2b_industry,final_distress_label,NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정
01030132,경남은행,192520,1,부채비율≥200%;,25.0,계속사업자,01,,3623561170551.0,False,1409.2988959013423,,,False,64121,False,False,901,경남은행,192520,등급없음,등급없음,등급없음,B+,2025,,,,
00122056,미창석유공업,003650,0,정상,0.0,계속사업자,01,,479410729146.0,False,11.37853383573052,1052.6126048524536,,False,19221,False,False,670,미창석유공업,003650,D,C,D,D,2025,,,,
00104722,국제약품,002720,0,정상,0.0,계속사업자,01,,96228170914.0,False,87.53210813731212,107.0127404182314,,False,212,False,False,873,국제약품,002720,D,D,D,C,2025,,,,
00112378,KR모터스,000040,1,유동비율<100%;,25.0,계속사업자,01,,43713527804.0,False,116.3052662758273,63.81152182106137,,False,319,False,False,998,KR모터스,000040,D,C,D,D,2025,,,,
00117337,동양,001520,0,정상,0.0,계속사업자,01,,698144462690.0,False,62.55574133342697,122.91253805798748,,False,23322,False,False,762,동양,001520,B+,A,A+,B,2025,,,,
00118451,동일제강,002690,0,정상,0.0,계속사업자,01,,157613797772.0,False,11.9355752148128,678.3763622989743,,False,24122,False,False,752,동일제강,002690,C,C,D,C,2025,,,,
00159740,KISCO홀딩스,001940,0,정상,0.0,계속사업자,01,,548383378389.0,False,0.2456339220122175,4100.989588737029,,False,241,False,False,1001,KISCO홀딩스,001940,C,C,B,D,2025,,,,
00160047,한국앤컴퍼니,000240,0,정상,0.0,계속사업자,01,,2690080177109.0,False,9.851315786870025,335.22221874714336,,False,64992,False,False,132,한국앤컴퍼니,000240,B,B+,A+,C,2025,통합 등급조정(2025.11.),,,지배구조 등급조정(2025.11.)
00203582,한솔홈데코,025750,0,정상,0.0,계속사업자,01,,104999730885.0,False,105.47685715813728,167.57679597937488,,False,161,False,False,90,한솔홈데코,025750,B+,B+,B+,B+,2025,,,,
00305668,새론오토모티브,075180,0,정상,0.0,계속사업자,01,,211472897184.0,False,9.20963068617454,736.7519529408282,,False,303,False,False,596,새론오토모티브,075180,D,C,D,D,2025,,,,
01160363,에코프로비엠,247540,1,유동비율<100%;,25.0,계속사업자,01,,1509808631634.0,False,86.33981152546515,45.84721372582643,,False,28202,False,False,451,에코프로비엠,247540,B+,B,A,B,2025,,,,
00149594,한국캐피탈,023760,1,부채비율≥200%;,25.0,계속사업자,01,,754145264471.0,False,583.5638382112036,,,False,64911,False,False,121,한국캐피탈,023760,C,D,C,B,2025,,,,
00136101,메이슨캐피탈,021880,0,정상,0.0,계속사업자,01,,51104954930.0,False,20.367186319324677,,,False,64911,False,False,699,메이슨캐피탈,021880,D,D,D,D,2025,,,,
00122737,팬오션,028670,0,정상,0.0,계속사업자,01,,5640898000000.0,False,89.97647183125808,121.50922736671976,,False,50112,False,False,184,팬오션,028670,A,A,A,B+,2025,,,,
00353610,이니텍,053350,0,정상,0.0,계속사업자,01,,138842296903.0,False,6.067428882198201,1741.9799590792202,,False,58221,False,False,365,이니텍,053350,C,C,C,C,2025,,,,
01365825,피에스케이,319660,0,정상,0.0,계속사업자,01,,449415274277.0,False,20.573451431918077,431.5979187510046,,False,29271,False,False,162,피에스케이,319660,C,B,B+,C,2025,,,,
00523307,다원시스,068240,2,완전자본잠식(자본총계<0),60.0,계속사업자,01,,-490718140985.0,True,-224.17733420041355,30.30584608503241,,False,2811,False,False,825,다원시스,068240,D,C,C,D,2025,,,,
00415868,펩트론,087010,0,정상,0.0,계속사업자,01,,142008658725.0,False,26.034287225115115,1644.778495706533,,False,211,False,False,179,펩트론,087010,D,D,D,D,2025,,,,
00168331,온타이드,005320,0,정상,0.0,계속사업자,01,,97350640623.0,False,33.46693760975889,234.94995626304197,,False,46413,True,False,422,온타이드,005320,D,D,D,D,2025,,,,
00164645,HMM,011200,0,정상,0.0,계속사업자,01,,26398028000000.0,False,24.87017212043263,592.7931041315763,,False,50112,False,False,1029,HMM,011200,A,A,A+,A,2025,,,,
00136457,SH에너지화학,002360,0,정상,0.0,계속사업자,01,,67923768770.0,False,46.87848812662401,394.88940109403774,,False,201,False,False,945,SH에너지화학,002360,C,C,D,B,2025,,,,
00126955,삼양식품,003230,0,정상,0.0,계속사업자,01,,1170210736276.0,False,61.74104283688564,164.69533650559214,,False,108,False,False,620,삼양식품,003230,A+,A+,A+,A,2025,,,,
01035289,제이케이리버스톤자기관리부동산투자회사,204210,1,유동비율<100%;,25.0,계속사업자,01,,38260775642.0,False,86.63207437074153,7.103892103676153,,False,681,False,False,1020,JK리버스톤리츠,204210,D,D,D,D,2025,,,,
00145437,아센디오,012170,0,정상,0.0,계속사업자,01,,7251984608.0,False,55.78894067889891,100.66145185865687,,False,591,False,False,502,아센디오,012170,D,D,D,D,2025,,,,
00134477,SNT다이내믹스,003570,0,정상,0.0,계속사업자,01,,858162269281.0,False,39.6450687195847,394.9745225725779,,False,30331,False,False,925,SNT다이내믹스,003570,D,C,C,D,2025,,,,
00526836,미래나노텍,095500,0,정상,0.0,계속사업자,01,,263390579251.0,False,63.2941263894377,110.45998097593396,,False,2229,False,False,682,미래나노텍,095500,C,B,B,C,2025,,,,
00344287,에이치디현대인프라코어,042670,3,국세청 폐업,100.0,폐업자,03,2026-01-02,1807675441949.0,False,,,,False,29241,False,True,1041,HD현대인프라코어,042670,A,A,A+,A,2025,,,,
00116268,동성제약,002210,1,부채비율≥200%;유동비율<100%;,25.0,계속사업자,01,,23370851643.0,False,620.7398335843349,68.53390043602712,,False,212,False,False,767,동성제약,002210,D,D,D,D,2025,,,,
01032404,콜마비앤에이치,200130,0,정상,0.0,계속사업자,01,,322371920672.0,False,61.50203804311067,150.52838320463778,,False,211,False,False,228,콜마비앤에이치,200130,B+,A,A,B,2025,,,,
00241005,코오롱이앤피,138490,3,국세청 폐업,100.0,폐업자,03,2026-04-02,345782741478.0,False,22.93146132165909,334.95246382552574,,False,20202,False,True,235,코오롱ENP,138490,B+,B,A,B+,2025,,,,
01262032,롯데이노베이트,286940,0,정상,0.0,계속사업자,01,,456243381723.0,False,77.26229767931551,121.13538494522383,,False,62021,False,False,720,롯데이노베이트,286940,A,A,A+,A,2025,,,,
00628189,웅진씽크빅,095720,0,정상,0.0,계속사업자,01,,267594828119.0,False,89.0089780035208,114.2640506692685,,False,85120,False,False,404,웅진씽크빅,095720,C,B,A,C,2025,,,,
00132868,우성머티리얼스,011300,1,부채비율≥200%;유동비율<100%;,25.0,계속사업자,01,,32136186480.0,False,218.17106889653576,32.07307356195926,,False,13213,False,False,410,우성머티리얼스,011300,D,D,D,D,2025,,,,
00124027,부산산업,011390,0,정상,0.0,계속사업자,01,,74202486440.0,False,29.28774602529344,212.14739814339197,,False,23322,False,False,656,부산산업,011390,D,C,D,D,2025,,,,
00982023,실리콘투,257720,0,정상,0.0,계속사업자,01,,419666484359.0,False,53.75902469900482,504.3688508466798,,False,46800,True,False,520,실리콘투,257720,D,D,D,D,2025,,,,
00159810,카프로,006380,1,부채비율≥200%;유동비율<100%;,25.0,계속사업자,01,,76798528456.0,False,214.71322558800568,82.4964978129361,,False,20119,False,False,270,카프로,006380,C,C,C,C,2025,,,,
00681142,쌍방울,102280,0,정상,0.0,계속사업자,01,,78703783171.0,False,19.808289311998923,649.5663136828128,,False,14120,False,False,518,쌍방울,102280,D,D,D,D,2025,,,,
00143651,웅진,016880,1,유동비율<100%;,25.0,계속사업자,01,,415971399713.0,False,53.87366478239068,20.531687372563827,,False,64992,False,False,405,웅진,016880,B,C,B+,B,2025,,,,
00226866,인탑스,049070,0,정상,0.0,계속사업자,01,,566661699667.0,False,8.26982911947967,1044.3905443234553,,False,2642,False,False,345,인탑스,049070,B+,B+,A,B,2025,,,,
00450010,씨티알모빌리티,308170,1,부채비율≥200%;유동비율<100%;,25.0,계속사업자,01,,87031596853.0,False,220.4483655161,46.472246740499926,,False,303,False,False,510,씨티알모빌리티,308170,C,C,C,C,2025,,,,
01319899,SK바이오사이언스,302440,0,정상,0.0,계속사업자,01,,1725410068291.0,False,26.636278640544504,413.59197326509,,False,211,False,False,936,SK바이오사이언스,302440,A,B+,A+,A,2025,,,,
00115384,동방아그로,007590,0,정상,0.0,계속사업자,01,,172936652872.0,False,44.12360016270132,339.0482190292792,,False,2032,False,False,770,동방아그로,007590,C,D,D,B,2025,,,,
00476498,컴투스,078340,1,유동비율<100%;,25.0,계속사업자,01,,971516536058.0,False,39.29003952910708,85.76938768750736,,False,5821,False,False,269,컴투스,078340,A,A,A+,B+,2025,,,,
01010110,더블유게임즈,192080,0,정상,0.0,계속사업자,01,,730479327273.0,False,6.63810790170082,897.388397531366,,False,5821,False,False,785,더블유게임즈,192080,B,D,C,B+,2025,,,,
01137383,카카오게임즈,293490,0,정상,0.0,계속사업자,01,,831650602689.0,False,78.28171546752984,,,False,5821,False,False,274,카카오게임즈,293490,A,A,A+,A,2025,,,,
01515323,LG에너지솔루션,373220,0,정상,0.0,계속사업자,01,,15159973000000.0,False,105.59254294186408,112.49248081299864,,False,28202,False,False,987,LG에너지솔루션,373220,A,B+,A+,A,2025,,,,
00983271,NHN,181710,0,정상,0.0,계속사업자,01,,1606271459961.0,False,13.975695571933432,268.6976971211729,,False,5821,False,False,446,엔에이치엔,181710,A,A,A+,A,2025,,,,
00133991,세아특수강,019440,0,정상,0.0,계속사업자,01,,318934252284.0,False,65.57501449037433,189.5547110221075,,False,24122,False,False,569,세아특수강,019440,B+,B+,A,B+,2025,,,,
00585219,세원이앤씨,091090,1,부채비율≥200%;,25.0,계속사업자,01,,46890349581.0,False,234.9196096303678,146.32041075966802,,False,251,False,False,566,세원이앤씨,091090,D,D,D,D,2025,,,,
00136776,차AI헬스케어,025620,0,정상,0.0,계속사업자,01,,77053359709.0,False,40.79211484963803,160.65468951459775,,False,204,False,False,317,제이준코스메틱,025620,D,D,D,D,2025,,,,
00146214,일성아이에스,003120,0,정상,0.0,계속사업자,01,,386344748050.0,False,4.313566748639538,1746.8751957351942,,False,212,False,False,337,일성아이에스,003120,D,D,D,D,2025,,,,
00358271,SFA,056190,0,정상,0.0,계속사업자,01,,836426980397.0,False,59.36291503704594,125.85199620570928,,False,292,False,False,475,에스에프에이,056190,C,C,C,C,2025,,,,
00159218,한전KPS,051600,0,정상,0.0,계속사업자,01,,1337028907231.0,False,26.232138579364594,286.9459414520848,,False,42311,False,False,79,한전KPS,051600,A,A,A,A,2025,,,사회 등급조정(2025.11.),
01524093,DL이앤씨,375500,0,정상,0.0,계속사업자,01,,4206660962828.0,False,63.51279264166937,124.54317320375378,,False,412,False,False,1065,DL이앤씨,375500,A,A+,A,B+,2025,,,사회 등급조정(2026.01.),
00480950,이아이디,093230,1,유동비율<100%;,25.0,계속사업자,01,,185932625022.0,False,29.76934357778832,28.081065630296475,,False,467,True,False,359,이아이디,093230,D,D,D,D,2025,,,,
00347734,진양화학,051630,1,유동비율<100%;,25.0,계속사업자,01,,39717885666.0,False,107.08565030038626,67.50428138284622,,False,22214,False,False,286,진양화학,051630,D,D,D,D,2025,,,,
