corp_code,bsns_year,drctr_co,otcmp_drctr_co,stlm_dt,rcept_no,corp_name,outside_ratio
00593032,2025,7.0,3.0,2025-12-31,20260601001924,LF,0.42857142857142855
00133511,2025,3.0,1.0,2025-12-31,20260320000337,SG세계물산,0.3333333333333333
00414601,2025,7.0,3.0,2025-12-31,20260319000663,유니퀘스트,0.42857142857142855
00416654,2025,6.0,2.0,2025-12-31,20260319000706,유엔젤,0.3333333333333333
00102140,2025,3.0,1.0,2025-12-31,20260312001118,경인전자,0.3333333333333333
00587457,2025,4.0,1.0,2025-12-31,20260323001081,갤럭시아머니트리,0.25
00143527,2025,3.0,1.0,2025-12-31,20260323001615,경동인베스트,0.3333333333333333
00154055,2025,6.0,2.0,2025-12-31,20260327001530,태원물산,0.3333333333333333
00144164,2025,7.0,4.0,2025-12-31,20260813001480,SK가스,0.5714285714285714
00159564,2025,4.0,1.0,2025-12-31,20260701000447,한국주강,0.25
00112165,2025,3.0,2.0,2025-12-31,20260320001046,디아이씨,0.6666666666666666
01478712,2025,3.0,1.0,2025-12-31,20260318001514,대덕전자,0.3333333333333333
00143314,2025,4.0,1.0,2025-12-31,20260323000919,에이엔피,0.25
00138701,2025,6.0,2.0,2025-12-31,20260326000458,아세아,0.3333333333333333
00105299,2025,6.0,3.0,2025-12-31,20260312000935,금강공업,0.5
00623661,2025,4.0,1.0,2025-12-31,20260318000451,원익머트리얼즈,0.25
00159102,2025,9.0,5.0,2025-12-31,20260331003904,DB손해보험,0.5555555555555556
00122898,2025,4.0,3.0,2025-12-31,20260323001448,벽산,0.75
00808022,2025,7.0,3.0,2025-12-31,20260320001282,메지온,0.42857142857142855
00939331,2025,7.0,4.0,2025-12-31,20260318001196,한국콜마,0.5714285714285714
00231372,2025,6.0,2.0,2025-12-31,20260319000832,롯데관광개발,0.3333333333333333
00129271,2025,8.0,2.0,2025-12-31,20260319000867,삼화전기,0.25
00164812,2025,6.0,3.0,2025-12-31,20260323001413,현대코퍼레이션,0.5
