종목코드=기업코드,법인명=종목명=기업명,지정구분,지정업종(목표)/계획업종(할당),업종명,온실가스 배출량(tCO₂eq),에너지 사용량(TJ),시장구분,시가총액,ESG등급,환경,사회,지배구조,비고
096760,JW홀딩스,,,기타금융,,,KOSPI,,B+,B+,A,B+,
035900,JYP Ent.,,,오락·문화,,,KOSDAQ,,B,A,A+,C,
105560,KB금융,,,기타금융,,,KOSPI,,A,A+,A+,A,
839185,KB라이프생명보험,,,,,,,,등급없음,등급없음,등급없음,A,
002550,KB손해보험,,,,,,,,등급없음,등급없음,등급없음,A,
021320,KCC건설,,,건설,,,KOSDAQ,,C,C,D,B,
036670,KCI,,,화학,,,KOSDAQ,,A,A,A,B+,
009440,KC그린홀딩스,,,기타금융,,,KOSPI,,B,B,B,B,
119650,KC코트렐,,,기계·장비,,,KOSPI,,C,B,B,C,
092220,KEC,사업장,반도체 제조업,전기·전자,"35,594",648,KOSPI,,C,C,D,C,
003620,KG모빌리티,업체,자동차용 엔진 및 자동차 제조업,운송장비·부품,"117,223","2,368",KOSPI,,C,C,D,C,
016380,KG스틸,업체,1차 철강 제조업,금속,"404,489","8,639",KOSPI,,B,B+,A,C,
151860,KG에코솔루션,업체,폐기물 처리업,운송장비·부품,"1,562",28,KOSDAQ,,D,C,D,D,
035600,KG이니시스,,,IT 서비스,,,KOSDAQ,,C,C,B+,D,
001390,KG케미칼,사업장,"비료, 농약 및 살균ㆍ살충제 제조업",화학,"37,313",457,KOSPI,,C,B+,B,C,
046440,KG파이낸셜,,,IT 서비스,,,KOSDAQ,,C,C,A,C,
033180,KH 필룩스,,,전기·전자,,,KOSPI,,D,C,D,D,
060720,KH바텍,,,전기·전자,,,KOSDAQ,,A,A,A+,A,
015590,KIB플러그에너지,,,기계·장비,,,KOSPI,,D,C,D,D,
001940,KISCO홀딩스,,,금속,,,KOSPI,,D,C,D,D,
025000,KPX케미칼,사업장,석유화학,화학,"24,270",770,KOSPI,2.04486E+11,D,C,D,D,
092230,KPX홀딩스,,,화학,,,KOSPI,,D,C,D,D,
000040,KR모터스,,,운송장비·부품,,,KOSPI,,D,D,D,D,
044450,KSS해운,,,운송·창고,,,KOSPI,,B+,B+,A,B+,
058850,KTcs,,,IT 서비스,,,KOSPI,,A,A,A+,A,
058860,KTis,,,IT 서비스,,,KOSPI,,B+,A,B+,B+,
043610,KT지니뮤직,,,오락·문화,,,KOSDAQ,,C,D,C,C,
061970,LB세미콘,사업장,반도체 제조업,전기·전자,"48,250","1,442",KOSDAQ,2.52371E+11,C,B+,A,D,
093050,LF,,,섬유·의류,,,KOSPI,,B+,B+,B+,B+,
003550,LG,,,기타금융,,,KOSPI,,A,A,A+,B+,
034220,LG디스플레이,업체,전자 부품 제조업,전기·전자,"3,671,012","53,590",KOSPI,,B+,B+,A,B+,
051900,LG생활건강,사업장,석유화학,화학,"47,246","1,041",KOSPI,,A,B+,A+,A,
373220,LG에너지솔루션,업체,일차전지 및 축전지 제조업,전기·전자,"408,140","8,860",KOSPI,,A,A,A+,B+,
032640,LG유플러스,업체,전기 통신업,통신,"1,418,334","29,633",KOSPI,,A,A,A+,A,
011070,LG이노텍,업체,전자 부품 제조업,전기·전자,"426,341","8,861",KOSPI,,A,A,A+,A,
066570,LG전자,업체,반도체 제조업,전기·전자,"257,475","5,469",KOSPI,,A,A,A+,B+,
037560,LG헬로비전,,,오락·문화,,,KOSPI,,A,A,A+,A,
051910,LG화학,업체,기초 화학물질 제조업,화학,"8,351,819","162,537",KOSPI,,B+,B+,A,B+,
079550,LIG디펜스앤에어로스페이스,,,금속,,,KOSPI,,A,A,A+,A,
006260,LS,,,기타금융,,,KOSPI,,A,A,A,A,
000680,LS네트웍스,,,유통,,,KOSPI,,B+,B,A,B+,
060370,LS마린솔루션,,,건설,,,KOSDAQ,,C,C,C,B,
229640,LS에코에너지,,,기타금융,,,KOSPI,,C,D,C,B,
