종목코드,법인명,지정구분,업종명,온실가스 배출량(tCO₂eq),에너지 사용량(TJ),ESG등급,환경,사회,지배구조
011760,현대코퍼레이션,,,,,B+,B+,B+,B+
227840,현대코퍼레이션홀딩스,,,,,B+,B,B+,B+
126560,현대퓨처넷,,,,,A,A+,A+,A
001450,현대해상,,,,,A,A,A+,A
057050,현대홈쇼핑,,,,,A+,A,A+,A+
093240,형지엘리트,,,,,D,D,D,D
003010,혜인,,,,,D,D,D,D
111110,호전실업,,,,,C,D,D,B+
241590,화승엔터프라이즈,,,,,B+,B+,A,B+
006060,화승인더스트리,,,,,B+,B+,A,B+
013520,화승코퍼레이션,,,,,B+,B+,B+,B+
010690,화신,,,,,B+,B+,A,B
010660,화천기계,,,,,C,D,C,C
000850,화천기공,,,,,C,D,C,C
016580,환인제약,,,,,C,D,C,B+
032560,황금에스티,,,,,C,D,D,B+
094280,효성ITX,,,,,A,A,A+,A
005870,휴니드테크놀러지스,,,,,C,C,D,C
243070,휴온스,,,,,A,A,A,B+
145020,휴젤,,,,,C,C,C,B
818586,흥국생명보험,,,,,등급없음,등급없음,등급없음,B
000540,흥국화재,,,,,B+,C,B+,B+
003280,흥아해운,,,,,B,B,B+,B
